tr_median,median
6.460836133,1841.589966
6.989357149,1742.241943
4.450103172,1773.106018
11.48853549,1727.815002
14.53305027,1871.541016
10.53951309,1862.043945
9.880945334,1779.863037
8.326792674,1696.95105
6.175812725,1802.144043
7.666251716,1792.646973
11.26011844,1932.902954
11.0498991,1746.808472
8.943600497,1912.813965
19.1726327,1858.026978
13.15071372,1838.120483
16.91665399,1714.300537
15.78725867,1802.509033
11.09919426,1901.857056
35.11628482,1632.667542
10.99718236,1766.713989
13.62431135,1955.731445
11.73231893,1719.962036
9.959209049,1865.33197
12.17724683,1912.814514
8.232615951,1948.609009
7.82442334,1871.358521
10.22652335,1834.285034
13.51893762,1798.673462
11.71355285,1939.112488
13.66634222,1779.498047
9.680427897,1846.338989
6.208995315,1952.260986
13.45055055,1777.489014
13.72852816,1891.264038
17.39617879,1863.322998
11.04339042,1946.964966
8.480610969,1803.787476
12.98053907,1796.117004
9.730126052,1818.944946
18.414055,1803.239014
9.796050759,1828.442017
5.64415496,1745.89502
7.017300596,1764.522949
12.93399229,1932.902954
8.716343706,1870.445007
14.25823095,1948.426514
11.85096932,1831.729004
15.41089291,1890.168945
9.365630307,1986.594482
9.753422718,1792.281494
11.25820158,1838.302979
5.871264025,1968.332031
7.418476712,1753.564941
7.78803159,1860.401001
13.9648678,1741.511963
8.093797815,1824.971497
5.683227492,1920.849976
7.979644633,1822.414978
7.897367358,1876.471985
10.13783471,1877.38501
12.51665004,1788.629028
7.03643778,1863.688477
10.40181102,1775.845947
10.17486276,1851.817993
8.151363664,1876.837036
8.254286624,1859.853027
14.67940956,1778.767944
4.688603415,1584.636963
20.54399128,1696.403503
9.933534445,1805.065491
7.40394661,1852.365479
16.1117349,1752.651978
11.06899864,1805.064941
7.560408493,1842.138489
8.551436664,1860.948975
14.73440342,1731.650024
12.32621475,1744.43396
12.69356676,1731.833008
12.99694833,1800.134521
6.429253119,1761.600952
11.9304538,1797.213013
13.75936337,1830.633057
7.82776189,1775.845947
8.030030336,1962.488037
7.833587421,1857.661499
10.2907791,1806.161011
8.542686077,1803.60498
16.75831961,1856.199951
11.632503,1784.611511
8.946829914,1777.489014
13.65757845,1926.145996
12.68484341,2004.309509
0,1753.564941
0,1839.216553
0,1816.205444
16.52884827,1822.963013
19.1409038,1777.489014
8.328907932,1865.879456
6.968908489,1783.150024
9.367042429,1840.130005
0,1807.256958
8.684835849,1816.205444
3.334457292,1764.157959
16.58722563,1662.618042
18.41523349,1832.093994
8.817549036,1832.458984
13.03821225,1756.487061
11.42613425,1890.534058
12.28968159,1814.013977
9.476947745,1857.661499
9.677024955,1801.412964
9.171020841,1717.588501
5.912234113,1763.062012
8.586618503,2016.727539
12.64941962,1800.317017
6.925694691,1736.946472
9.540074767,1686.176514
5.179316044,1804.334961
6.688323023,1710.830994
4.831913674,1872.088989
9.125174046,1698.960022
8.741072351,1718.865967
11.29890347,1715.031494
9.579015718,1734.572021
15.58200512,1824.240967
11.14084822,1751.374023
9.137919242,1668.097046
8.388560344,1695.125
10.87467672,1713.570496
7.786295358,1744.251465
3.24175846,1861.678955
5.452373413,1845.243042
15.53396649,1920.119507
8.176618201,1906.057007
5.76157217,1893.273499
4.677868067,1989.881958
10.50276665,1952.078491
4.901702674,1866.792969
6.465373925,1790.63855
13.37076425,1670.471008
10.32247998,1866.427979
10.56398777,1724.528015
6.671303442,1950.617554
13.33775183,1732.745972
16.829734,1793.743042
6.98518469,1927.05896
6.889981403,1924.501953
9.441476143,1765.435547
14.16673564,1941.669006
9.498008881,1957.009033
21.64300144,1836.842041
13.98664714,1965.776001
10.10805063,1827.345947
7.469073304,1812.005005
9.231835377,1803.60498
12.86419269,1812.918457
15.08388026,1746.808472
24.17792181,1866.062012
10.47828488,1782.967529
0,1761.052979
19.40362848,1928.336975
22.82735232,1889.620972
23.55888257,1808.170044
15.25166181,1851.087036
19.01414678,1950.800049
0,1748.452026
9.636356508,1870.993042
8.138957436,1867.705994
10.93838872,1852.000488
13.37285535,1760.505005
11.51879844,1833.555054
19.38338705,1615.865967
13.25577965,1948.609009
9.005159876,1875.19397
18.07469739,1771.64502
9.451423385,1772.923523
7.968427065,1870.079956
6.935776788,1871.541016
8.651500972,1777.30603
6.805066807,1881.585449
8.197123376,1881.037964
7.737343591,2029.877014
11.65104737,1670.106018
5.595431529,1900.943481
7.126353887,1894.916992
7.395562169,1823.875488
10.91608071,1871.176025
8.81990724,1981.845947
9.494055324,1945.687012
11.91784807,1919.936523
10.62391313,1917.927979
3.629622182,1912.083984
9.110746707,1893.456055
17.01092574,1906.969971
3.323139174,1863.688477
10.17532944,1830.633057
9.485154735,1786.802979
5.894827079,1793.377502
5.559858269,1994.630005
6.216317998,1882.498474
6.11159116,1858.756958
6.136635595,1725.44104
7.417081741,1859.670532
9.372301492,1782.420044
6.138006874,1809.630981
8.799208785,1758.678955
12.8359736,1897.838989
9.168522835,1883.959961
12.64994846,1866.427979
7.843835986,1792.282043
8.309666397,1771.462036
4.535231054,1859.121948
8.518338499,1909.161987
11.45065383,1778.9505
10.5356254,1892.360474
7.61191926,1754.843994
8.388909212,1800.5
14.17313953,1795.934509
14.39389168,1791.551025
9.410988377,1874.828003
17.40176301,1775.845947
13.46312427,1775.11499
11.0016432,1817.666504
10.64532552,1829.171997
10.87891132,1820.041016
10.17468483,1827.345947
6.176887818,1765.435974
10.96240399,1661.156982
7.404990583,1917.562012
11.51485735,1686.541504
16.05469385,1802.691528
23.28074196,1864.235962
13.29916288,1673.028015
13.35355684,1874.828003
9.459822765,1772.92395
12.13483094,1777.123535
15.14841151,1763.427002
13.3373751,1782.602539
8.118671162,1901.491943
19.05524089,1625.728027
6.893201382,1887.429504
5.739859464,1848.530029
11.60895732,1801.412964
10.68219255,1703.526001
14.99755511,1824.42395
11.44569701,1710.100952
21.50473449,1716.310059
11.89226744,1872.636963
10.6250589,1676.131958
9.639916851,1911.536011
8.657195741,1815.291992
13.33935757,1803.239014
15.76356435,1878.480957
22.87632671,1767.079956
6.364827066,1903.317993
10.1411503,1742.973022
10.99827064,1710.831055
17.79596646,1827.71106
9.043633878,1802.691467
11.12016953,1827.71106
8.402916613,1915.553467
8.316200152,1904.047974
11.22694159,1727.997498
15.60273597,1817.484009
10.27645041,1797.030029
8.993668278,1809.083008
9.050248078,1873.732056
11.91542354,1847.435059
7.333497012,1942.034058
12.82148564,1765.984009
10.08275705,1783.880981
4.898064694,1825.52002
10.6489437,1818.944946
8.126466929,1825.154053
8.428745733,1873.5495
21.42300011,1863.505981
